Season,Week,Num_Contestants,Eliminated,Judge_Rank,Fan_Rank,Combined_Rank,Judge_Favorite_Eliminated,Fan_Favorite_Eliminated,Judge_Top_Half_Eliminated,Fan_Top_Half_Eliminated,Neither_Worst
1,1,6,Kelly Monaco,6.0,3.0,6.0,False,False,False,True,False
1,2,6,Evander Holyfield,6.0,1.0,6.0,False,True,False,True,False
1,3,5,Evander Holyfield,5.0,5.0,5.0,False,False,False,False,False
1,4,4,Joey McIntyre,4.0,2.0,4.0,False,False,False,True,False
1,5,3,Joey McIntyre,3.0,2.0,3.0,False,False,False,False,False
1,6,2,John O'Hurley,2.0,1.0,2.0,False,True,False,True,False
2,1,10,Kenny Mayne,9.0,10.0,10.0,False,False,False,False,False
2,2,9,Master P,9.0,1.0,9.0,False,True,False,True,False
2,3,8,Master P,8.0,1.0,8.0,False,True,False,True,False
2,4,7,Master P,7.0,6.0,7.0,False,False,False,False,False
2,5,6,Tia Carrere,6.0,6.0,6.0,False,False,False,False,False
2,6,5,George Hamilton,4.0,3.0,5.0,False,False,False,False,False
2,7,4,Jerry Rice,4.0,1.0,4.0,False,True,False,True,False
2,8,3,Jerry Rice,3.0,1.0,3.0,False,True,False,True,False
3,1,11,Tucker Carlson,9.0,11.0,11.0,False,False,False,False,False
3,2,10,Jerry Springer,10.0,2.0,10.0,False,False,False,True,False
3,3,9,Emmitt Smith,9.0,1.0,9.0,False,True,False,True,False
3,4,8,Sara Evans,8.0,1.0,8.0,False,True,False,True,False
3,5,7,Jerry Springer,6.0,3.0,7.0,False,False,False,True,False
3,6,5,Jerry Springer,5.0,2.0,5.0,False,False,False,True,False
3,7,5,Jerry Springer,5.0,5.0,5.0,False,False,False,False,False
3,8,4,Monique Coleman,4.0,4.0,4.0,False,False,False,False,False
3,9,3,Mario Lopez,1.0,3.0,3.0,False,False,True,False,False
3,10,2,Mario Lopez,1.0,2.0,2.0,False,False,True,False,False
4,1,11,Clyde Drexler,9.0,11.0,11.0,False,False,False,False,False
4,2,11,Clyde Drexler,11.0,1.0,11.0,False,True,False,True,False
4,3,10,Clyde Drexler,10.0,1.0,10.0,False,True,False,True,False
4,4,9,Leeza Gibbons,7.0,9.0,9.0,False,False,False,False,False
4,5,8,Clyde Drexler,8.0,8.0,8.0,False,False,False,False,False
4,6,7,John Ratzenberger,7.0,1.0,7.0,False,True,False,True,False
4,7,6,Billy Ray Cyrus,6.0,1.0,6.0,False,True,False,True,False
4,8,5,Billy Ray Cyrus,5.0,5.0,5.0,False,False,False,False,False
4,9,4,Ian Ziering,4.0,4.0,4.0,False,False,False,False,False
4,10,3,Laila Ali,3.0,1.0,3.0,False,True,False,True,False
5,1,12,Josie Maran,12.0,12.0,12.0,False,False,False,False,False
5,2,11,Wayne Newton,11.0,2.0,11.0,False,False,False,True,False
5,3,10,Wayne Newton,10.0,10.0,10.0,False,False,False,False,False
5,4,9,Mark Cuban,9.0,1.0,9.0,False,True,False,True,False
5,5,8,Mark Cuban,7.0,8.0,8.0,False,False,False,False,False
5,6,7,Jane Seymour,7.0,1.0,7.0,False,True,False,True,False
5,7,6,Jane Seymour,6.0,6.0,6.0,False,False,False,False,False
5,8,5,Marie Osmond,5.0,3.0,5.0,False,False,False,False,False
5,9,4,Marie Osmond,4.0,2.0,4.0,False,False,False,True,False
5,10,3,Marie Osmond,3.0,2.0,3.0,False,False,False,False,False
6,1,12,Monica Seles,10.0,10.0,12.0,False,False,False,False,True
6,2,12,Steve Guttenberg,11.0,2.0,12.0,False,False,False,True,True
6,3,10,Marissa Jaret Winokur,10.0,2.0,10.0,False,False,False,True,False
6,4,9,Adam Carolla,9.0,9.0,9.0,False,False,False,False,False
6,5,8,Priscilla Presley,8.0,8.0,8.0,False,False,False,False,False
6,6,7,Marlee Matlin,7.0,7.0,7.0,False,False,False,False,False
6,7,6,Cristian de la Fuente,6.0,1.0,6.0,False,True,False,True,False
6,8,5,Marissa Jaret Winokur,5.0,3.0,5.0,False,False,False,False,False
6,9,4,Marissa Jaret Winokur,4.0,4.0,4.0,False,False,False,False,False
6,10,3,Cristian de la Fuente,3.0,2.0,3.0,False,False,False,False,False
7,1,13,Jeffrey Ross,12.0,13.0,13.0,False,False,False,False,False
7,2,11,Rocco DiSpirito,10.0,3.0,11.0,False,False,False,True,True
7,3,9,Cloris Leachman,9.0,1.0,9.0,False,True,False,True,False
7,4,9,Rocco DiSpirito,9.0,9.0,9.0,False,False,False,False,False
7,5,8,Lance Bass,7.0,2.0,8.0,False,False,False,True,True
7,6,7,Cloris Leachman,7.0,7.0,7.0,False,False,False,False,False
7,7,6,Warren Sapp,6.0,3.0,6.0,False,False,False,True,False
7,8,5,Maurice Greene,4.0,5.0,5.0,False,False,False,False,False
7,9,4,Cody Linley,4.0,4.0,4.0,False,False,False,False,False
7,10,3,Warren Sapp,2.0,2.0,3.0,False,False,False,False,True
8,1,13,Ty Murray,11.0,7.0,13.0,False,False,False,False,True
8,2,13,Steve-O,13.0,1.0,13.0,False,True,False,True,False
8,3,12,Denise Richards,10.0,12.0,12.0,False,False,False,False,False
8,4,11,Holly Madison,9.0,11.0,11.0,False,False,False,False,False
8,5,9,Steve-O,9.0,1.0,9.0,False,True,False,True,False
8,6,8,Steve-O,8.0,8.0,8.0,False,False,False,False,False
8,7,7,Lawrence Taylor,7.0,7.0,7.0,False,False,False,False,False
8,8,6,Melissa Rycroft,6.0,2.0,6.0,False,False,False,True,False
8,9,5,Ty Murray,5.0,2.0,5.0,False,False,False,True,False
8,10,4,Ty Murray,4.0,4.0,4.0,False,False,False,False,False
8,11,3,Melissa Rycroft,3.0,1.0,3.0,False,True,False,True,False
9,1,16,Macy Gray,15.0,16.0,16.0,False,False,False,False,False
9,2,14,Kathy Ireland,13.0,14.0,14.0,False,False,False,False,False
9,3,13,Michael Irvin,12.0,2.0,13.0,False,False,False,True,False
9,4,11,Michael Irvin,10.0,3.0,11.0,False,False,False,True,True
9,5,10,Michael Irvin,10.0,3.0,10.0,False,False,False,True,False
9,6,9,Michael Irvin,9.0,3.0,9.0,False,False,False,True,False
9,7,7,Mark Dacascos,7.0,2.0,7.0,False,False,False,True,False
9,8,5,Aaron Carter,4.0,5.0,5.0,False,False,False,False,False
9,9,4,Donny Osmond,4.0,3.0,4.0,False,False,False,False,False
9,10,3,Kelly Osbourne,3.0,2.0,3.0,False,False,False,False,False
10,1,11,Buzz Aldrin,9.0,11.0,11.0,False,False,False,False,False
10,2,11,Chad Ochocinco,9.0,3.0,11.0,False,False,False,True,True
10,3,10,Buzz Aldrin,9.0,10.0,10.0,False,False,False,False,False
10,4,9,Kate Gosselin,9.0,1.0,9.0,False,True,False,True,False
10,5,8,Kate Gosselin,8.0,8.0,8.0,False,False,False,False,False
10,6,7,Jake Pavelka,7.0,7.0,7.0,False,False,False,False,False
10,7,6,Niecy Nash,6.0,3.0,6.0,False,False,False,True,False
10,8,5,Niecy Nash,5.0,5.0,5.0,False,False,False,False,False
10,9,4,Chad Ochocinco,4.0,4.0,4.0,False,False,False,False,False
10,10,3,Erin Andrews,2.0,2.0,3.0,False,False,False,False,True
11,1,12,David Hasselhoff,9.0,12.0,12.0,False,False,False,False,False
11,2,11,Michael Bolton,11.0,11.0,11.0,False,False,False,False,False
11,3,10,Margaret Cho,10.0,10.0,10.0,False,False,False,False,False
11,4,9,The Situation,8.0,9.0,9.0,False,False,False,False,False
11,5,8,Bristol Palin,8.0,2.0,8.0,False,False,False,True,False
11,6,7,Kurt Warner,7.0,1.0,7.0,False,True,False,True,False
11,7,6,Bristol Palin,6.0,3.0,6.0,False,False,False,True,False
11,8,5,Bristol Palin,5.0,1.0,5.0,False,True,False,True,False
11,9,4,Bristol Palin,4.0,1.0,4.0,False,True,False,True,False
11,10,3,Bristol Palin,3.0,1.0,3.0,False,True,False,True,False
12,1,11,Wendy Williams,10.0,9.0,11.0,False,False,False,False,True
12,2,11,Mike Catherwood,9.0,11.0,11.0,False,False,False,False,False
12,3,10,Wendy Williams,10.0,10.0,10.0,False,False,False,False,False
12,4,9,Kendra Wilkinson,9.0,1.0,9.0,False,True,False,True,False
12,5,8,Petra Nemcova,6.0,8.0,8.0,False,False,False,False,False
